,0
0,000145
1,000146
2,000315
3,000340
4,000348
5,000349
6,000382
7,000383
8,000384
9,000399
10,000453
11,000454
12,000455
13,000498
14,000499
15,000558
16,000611
17,000643
18,000670
19,000671
20,000702
21,000703
22,000732
23,000733
24,000806
25,000807
26,000820
27,000821
28,001465
29,001519
30,001525
31,020006
32,020008
33,020025
34,020030
35,040006
36,040042
37,040043
38,050129
39,070007
40,080016
41,080017
42,080018
43,080019
44,100007
45,100070
46,100071
47,101007
48,121007
49,121099
50,150001
51,150002
52,150003
53,150006
54,150007
55,150010
56,150011
57,150025
58,150026
59,150027
60,150038
61,150041
62,150043
63,150044
64,150045
65,150046
66,150061
67,150062
68,150063
69,150068
70,150069
71,150070
72,150071
73,150072
74,150078
75,150079
76,150080
77,150081
78,150082
79,150087
80,150098
81,150099
82,150110
83,150111
84,150114
85,150115
86,150116
87,150127
88,150132
89,150137
90,159917
91,160619
92,160641
93,160811
94,161016
95,161717
96,161909
97,162106
98,162109
99,162512
100,162602
101,163112
102,163303
103,163908
104,164207
105,164209
106,165518
107,165706
108,166013
109,166106
110,167502
111,184688
112,184689
113,184690
114,184691
115,184692
116,184693
117,184695
118,184696
119,184698
120,184699
121,184700
122,184701
123,184702
124,184703
125,184705
126,184706
127,184708
128,184709
129,184710
130,184711
131,184712
132,184713
133,184718
134,184719
135,184720
136,184738
137,202201
138,206016
139,206017
140,229001
141,240021
142,241002
143,253070
144,270024
145,360017
146,360018
147,360021
148,360022
149,471021
150,471028
151,472028
152,500001
153,500002
154,500003
155,500005
156,500006
157,500007
158,500008
159,500009
160,500010
161,500011
162,500013
163,500015
164,500016
165,500017
166,500018
167,500019
168,500021
169,500025
170,500028
171,500029
172,500035
173,500039
174,510700
175,519052
176,519053
177,519192
178,519528
179,519529
180,519886
181,519887
182,675021
183,675023
184,960040
185,960041
