,abbreviation,code,name,name_en,type
0,HXCZHH,000001,华夏成长混合,HUAXIACHENGZHANGHUNHE,混合型
1,HXCZHH,000002,华夏成长混合(后端),HUAXIACHENGZHANGHUNHE,混合型
2,ZHKZZZQA,000003,中海可转债债券A,ZHONGHAIKEZHUANZHAIZHAIQUANA,债券型
3,ZHKZZZQC,000004,中海可转债债券C,ZHONGHAIKEZHUANZHAIZHAIQUANC,债券型
4,JSZQXYDQZQ,000005,嘉实增强信用定期债券,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN,定开债券
5,XBLDLHCZHH,000006,西部利得量化成长混合,XIBULIDELIANGHUACHENGZHANGHUNHE,混合型
6,JSZZ500ETFLJA,000008,嘉实中证500ETF联接A,JIASHIZHONGZHENG500ETFLIANJIEA,联接基金
7,YFDTTLCHBA,000009,易方达天天理财货币A,YIFANGDATIANTIANLICAIHUOBIA,货币型
8,YFDTTLCHBB,000010,易方达天天理财货币B,YIFANGDATIANTIANLICAIHUOBIB,货币型
9,HXDPJXHH,000011,华夏大盘精选混合,HUAXIADAPANJINGXUANHUNHE,混合型
10,HXDPJXHH,000012,华夏大盘精选混合(后端),HUAXIADAPANJINGXUANHUNHE,混合型
11,YFDTTLCHBR,000013,易方达天天理财货币R,YIFANGDATIANTIANLICAIHUOBIR,货币型
12,HXJLZQ,000014,华夏聚利债券,HUAXIAJULIZHAIQUAN,债券型
13,HXCZZQA,000015,华夏纯债债券A,HUAXIACHUNZHAIZHAIQUANA,债券型
14,HXCZZQC,000016,华夏纯债债券C,HUAXIACHUNZHAIZHAIQUANC,债券型
15,CTKCXHH,000017,财通可持续混合,CAITONGKECHIXUHUNHE,混合型
16,JSCCPZTZHH,000020,景顺长城品质投资混合,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE,混合型
17,HXYSZZHH,000021,华夏优势增长混合,HUAXIAYOUSHIZENGZHANGHUNHE,混合型
18,DMSLZQZQA,000024,大摩双利增强债券A,DAMOSHUANGLIZENGQIANGZHAIQUANA,债券型
19,DMSLZQZQC,000025,大摩双利增强债券C,DAMOSHUANGLIZENGQIANGZHAIQUANC,债券型
20,HFAXZQ,000028,华富安鑫债券,HUAFUANXINZHAIQUAN,债券型
21,FGHGCLLHPZHH,000029,富国宏观策略灵活配置混合,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE,混合型
22,CCHXYXHH,000030,长城核心优选混合,CHANGCHENGHEXINYOUXUANHUNHE,混合型
23,HXFXHH,000031,华夏复兴混合,HUAXIAFUXINGHUNHE,混合型
