,code,symbol,issuer,fund_manager,fund_type,establishment_date,listed_date,stop_date,de_listed_date,benchmark
0,1,华夏成长,华夏基金管理有限公司,董阳阳 ,Hybrid,2001-12-18,2001-12-18,0000-00-00,0000-00-00,
1,3,中海可转债A,中海基金管理有限公司,彭海平 ,Bond,2013-03-20,2013-03-20,0000-00-00,0000-00-00,70.0％×标普中国可转债指数+10.0％×上海证券交易所上证红利指数+20.0％×中证综合债券指数
2,4,中海可转债C,中海基金管理有限公司,彭海平 ,Bond,2013-03-20,2013-03-20,0000-00-00,0000-00-00,70.0％×标普中国可转债指数+10.0％×上海证券交易所上证红利指数+20.0％×中证综合债券指数
3,5,嘉实增强信用,嘉实基金管理有限公司,刘宁 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
4,6,西部量化成长,西部利得基金管理有限公司,盛丰衍 ,Hybrid,2019-03-19,2019-03-19,0000-00-00,0000-00-00,25.0％×活期存款利率(税后)+75.0％×中证小盘500指数
5,7,鹏华国企债,鹏华基金管理有限公司,,Bond,2013-03-08,2013-03-08,2018-08-08,2018-08-08,100.0％×中债-总指数
6,8,嘉实中证500ETF联接A,嘉实基金管理有限公司,陈正宪 何如 ,Stock,2013-03-22,2013-03-22,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证小盘500指数
7,9,易方达天天理财A,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
8,10,易方达天天理财B,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
9,11,华夏大盘,华夏基金管理有限公司,陈伟彦 ,Hybrid,2004-08-11,2004-08-11,0000-00-00,0000-00-00,80.0％×富时中国A200指数+20.0％×富时中国国债净价指数
10,13,易方达天天理财R,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
11,14,华夏聚利,华夏基金管理有限公司,何家琪 ,Bond,2014-03-19,2014-03-19,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
12,15,华夏纯债A,华夏基金管理有限公司,柳万军 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×中债-综合指数
13,16,华夏纯债C,华夏基金管理有限公司,柳万军 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×中债-综合指数
14,17,财通主题,财通基金管理有限公司,夏钦 ,Hybrid,2013-03-27,2013-03-27,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×沪深300指数
15,20,景顺品质,景顺长城基金管理有限公司,詹成 ,Hybrid,2013-03-19,2013-03-19,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
16,21,华夏优势,华夏基金管理有限公司,刘平 郑晓辉 ,Hybrid,2006-11-24,2006-11-24,0000-00-00,0000-00-00,80.0％×富时中国A600指数+20.0％×中债-综合指数-财富指数
17,22,南方中债A,南方基金管理股份有限公司,,Bond,2013-05-03,2013-05-03,2018-04-26,2018-04-26,5.0％×活期存款利率(税后)+95.0％×中债-新中期票据总指数
18,23,南方中债C,南方基金管理股份有限公司,,Bond,2013-05-03,2013-05-03,2018-04-26,2018-04-26,5.0％×活期存款利率(税后)+95.0％×中债-新中期票据总指数
19,24,大摩双利A,摩根士丹利华鑫基金管理有限公司,张雪 ,Bond,2013-03-26,2013-03-26,0000-00-00,0000-00-00,20.0％×中债-国债总指数-全价指数+40.0％×中债-企业债总指数-全价指数+40.0％×中证可转换债券指数
